Timestamp,Grid ID,nox Prediction mean,no2 Prediction mean,no Prediction mean,o3 Prediction mean,pm10 Prediction mean,pm2.5 Prediction mean,so2 Prediction mean,nox Prediction 0.05,no2 Prediction 0.05,no Prediction 0.05,o3 Prediction 0.05,pm10 Prediction 0.05,pm2.5 Prediction 0.05,so2 Prediction 0.05,nox Prediction 0.5,no2 Prediction 0.5,no Prediction 0.5,o3 Prediction 0.5,pm10 Prediction 0.5,pm2.5 Prediction 0.5,so2 Prediction 0.5,nox Prediction 0.95,no2 Prediction 0.95,no Prediction 0.95,o3 Prediction 0.95,pm10 Prediction 0.95,pm2.5 Prediction 0.95,so2 Prediction 0.95
Month_1-Day_Friday-Hour_9,526883,46.13656663,34.6158464,16.90259604,13.81839571,10.98669049,5.811773663,1.531980898,37.03153715,26.70778494,6.852012156,5.223171922,4.437183899,1.822794969,0.570447378,43.65008519,42.00124022,9.668939244,17.88857123,9.911101058,7.013925379,1.031787655,106.6172863,80.34010424,12.70051858,32.89629663,21.14932567,15.58637325,4.695545228
Month_1-Day_Friday-Hour_9,526884,46.60601096,36.74559893,7.365299507,18.14907768,11.16412449,4.544975751,1.449276069,28.61599284,22.11837876,7.003410777,9.880693875,3.46859277,1.520618435,0.413501227,38.02076611,32.34643347,7.402686037,18.77646041,11.67455833,6.677651255,0.936287814,91.17622553,81.47614629,15.58683234,41.87689911,20.00219944,17.19925661,2.886573691
Month_1-Day_Friday-Hour_9,528857,34.45897737,15.15140027,5.723130909,38.85054842,11.62080066,4.642861145,1.643482096,22.0430085,13.82694429,1.156825611,19.77158206,5.15229626,1.218540761,0.546237883,24.14770278,16.48727567,5.017075525,32.81767748,11.00572792,6.202565798,1.219316089,56.59114811,44.17222456,7.694550475,51.94474251,22.95299656,14.48762832,2.563207612
Month_1-Day_Friday-Hour_9,528858,37.26161669,23.00153035,6.326066706,40.11629233,11.30534837,4.723905104,1.154286158,20.83081932,17.01744915,2.029994211,22.19253228,5.229323662,1.2113525,0.360667658,33.76577249,21.73245199,5.751185317,33.84850323,11.52610272,6.275559402,0.835369216,61.14449828,52.29142836,9.387452343,60.94344601,22.45950598,14.20348146,2.154161533
Month_1-Day_Friday-Hour_9,528900,59.62736497,41.16745369,12.86194583,19.9712613,11.19209954,5.707511226,0.853811659,37.22624081,29.95942957,7.917216118,7.279701965,4.513756271,1.59528528,0.445873733,40.8595235,41.03848574,7.345264271,17.35466385,9.982144591,6.77774722,0.946344711,118.3111239,76.21167282,15.07233828,37.34571425,21.75561541,15.62004641,3.505588105
Month_1-Day_Friday-Hour_9,528903,67.20736489,35.87068961,12.33145558,12.2507004,11.003055,7.070945314,1.417185031,33.3080762,22.38786689,3.210739958,4.511511004,3.903919934,2.817211167,0.408684774,50.50489872,32.80904462,14.04401756,24.15462825,12.58838236,7.599110922,0.910513943,106.6512957,82.65379358,15.35066845,40.53485037,22.6838412,15.8488171,1.916054547
Month_1-Day_Friday-Hour_9,528904,63.33213763,47.23179036,14.41553729,17.32859935,11.30407442,5.928610177,0.764371576,32.70982723,18.36615285,4.909969913,8.195248747,4.331943494,2.495391385,0.376287854,50.82537908,34.21974894,8.969943833,25.53843444,10.06305505,6.789991247,0.875387963,87.6954916,53.9907939,16.4640784,45.86694198,25.41536358,15.64544873,2.000428173
Month_1-Day_Friday-Hour_9,529511,53.17827955,31.06455383,10.15622358,25.80438434,12.61108561,5.614543665,1.108581732,36.1989589,25.28825547,5.600078474,13.66444474,4.8896646,1.957722417,0.521909599,44.71939633,40.61298894,8.977336437,36.86482867,12.19189792,7.701667893,1.417755551,124.3648093,54.26092512,29.39930131,50.77930492,23.42890371,16.10267162,2.056120886
Month_1-Day_Friday-Hour_9,530167,46.6843826,36.15350245,11.08711327,29.59745707,12.42685165,5.772680196,1.109027072,31.33432245,27.76775964,6.616938965,13.81446611,5.312544265,2.419295118,0.522361692,44.40343696,41.25382497,8.370534091,32.25542543,13.41733414,8.047609589,1.24923934,105.2340832,57.55998333,28.52250411,49.06200992,23.593564,17.78895565,2.348351304
Month_1-Day_Friday-Hour_9,530826,33.87216977,24.7046435,5.832877967,33.0830691,9.359325659,3.966459751,1.264055413,16.18805388,12.60715012,3.667599389,13.27239998,4.524806617,1.336211758,0.436739765,34.21534407,24.30599335,5.787017398,36.11117199,9.955672744,7.037132047,1.37246377,98.01466341,53.85031773,35.94904232,52.79780116,22.21549397,17.64400644,3.290421721
